AWC_CODE,StreamName,Shape_Leng,Latitude,Longitude
113-12-10010-2004, ,532.0560068,56.38777542,-134.8093872
111-41-10050,Admiralty Creek,3757.411433,58.17570114,-134.5609131
113-52-10040-2015, ,1691.103906,57.35309219,-135.1409302
113-41-10390, ,756.7880079,56.95934677,-135.265976
113-44-10050, ,9927.339793,57.16236496,-135.2866669
110-32-10140,Surprise Creek,1235.963165,57.5494957,-133.4873505
113-57-10090, ,7341.921803,57.71168137,-135.7556
110-16-10130-2003, ,1574.808057,57.0772171,-133.7802277
109-20-10050, ,235.4199736,56.69570541,-134.6351929
113-72-10040-2019,Rust Creek,397.7510875,57.63359833,-135.9971771
113-57-10010-2003, ,848.5764122,57.62307358,-135.6960907
103-25-10220,Perry Creek,1687.531456,55.2766037,-132.6703339
107-40-10530-2003-3024, ,1153.420596,56.36241913,-131.4013977
113-65-10070-2010, ,586.7482498,57.36151505,-135.5511627
112-80-10280,Chaik Bay Creek,6373.390049,57.30521393,-134.4464417
113-34-10010, ,199.4437276,56.72101593,-135.1178284
102-10-10150,*Kendrick Creek,2890.415856,54.90106964,-132.1114197
103-21-10480, ,921.0694697,54.90787506,-132.7317963
109-62-10160,West of Shelter Cove,303.2476678,56.48076248,-134.0669556
112-43-10080, ,781.4961334,57.73398209,-135.4425659
103-40-10890,Lively Creek,1360.132468,55.23215866,-133.1163483
113-32-10080, ,925.5070145,56.80550003,-135.18013
111-21-10950, ,1437.904838,57.67260361,-133.4788666
104-30-10150, ,1043.007269,55.27056885,-133.4253082
102-40-10250, ,806.1155326,55.15143585,-132.196991
102-30-10910,*Nowiskay Creek,928.7028983,55.12911224,-132.1514587
115-32-10250-2067-3001-4006,*Clear Creek,845.4323961,59.38989258,-135.9220734
109-44-10390,Skanax Creek,2803.979545,56.8466568,-134.162796
113-51-10070, ,1858.982844,57.41070557,-134.8522949
101-47-10400,Government Creek,1468.242245,55.34436417,-131.6923828
115-10-10650,Beardslee River,2105.156351,58.70512009,-135.2393188
113-45-10080, ,1771.067763,57.13111115,-135.7527466
113-21-10070, ,898.0922656,56.46217346,-134.9846802
